,last_price,previous_price,date,percent_from_previous,action_type,raw.high,raw.low,raw.vol,raw.last,raw.buy,raw.sell,raw.open,raw.date,sma.low_period,sma.high_period,sma.low_previous,sma.low_current,sma.high_previous,sma.high_current,sma.low,sma.high
0,320413.50913,320413.50913,10/03/2021 20:24:26,0.0,buy,325000.00000000,303000.00000000,338.95682130,320413.50913000,320320.02040000,320413.50913000,315000.00000000,1615418666,7,21,320373.4426085713,320373.44256999996,320386.7968895235,320391.2492242854,0,0
0,320413.50913,320413.50913,10/03/2021 20:24:27,0.0,buy,325000.00000000,303000.00000000,338.95682130,320413.50913000,320320.02040000,320413.50923000,315000.00000000,1615418667,7,21,320373.44256999996,320373.4425314286,320391.2492242854,320395.70155904733,0,0
0,320413.50923,320413.50913,10/03/2021 20:24:28,3.120967184600589e-08,buy,325000.00000000,303000.00000000,338.96027609,320413.50923000,320320.02040000,320413.50923000,315000.00000000,1615418668,7,21,320373.4425314286,320386.79807857145,320395.70155904733,320400.15389857115,0,0
0,320413.50923,320413.50923,10/03/2021 20:24:29,0.0,buy,325000.00000000,303000.00000000,338.96027609,320413.50923000,320320.02040000,320413.50923000,315000.00000000,1615418669,7,21,320386.79807857145,320400.1536257143,320400.15389857115,320400.15387428546,0,0
0,320413.50923,320413.50923,10/03/2021 20:24:31,0.0,sell,325000.00000000,303000.00000000,338.96027609,320413.50923000,320320.02040000,320413.50923000,315000.00000000,1615418671,7,21,320400.1536257143,320413.5091728572,320400.15387428546,320400.15384999977,0,0
0,320413.50923,320413.50923,10/03/2021 20:24:32,0.0,sell,325000.00000000,303000.00000000,338.96027609,320413.50923000,320320.02040000,320413.50923000,315000.00000000,1615418672,7,21,320413.5091728572,320413.5091871429,320400.15384999977,320400.1538257141,0,0
0,320413.50923,320413.50923,10/03/2021 20:24:33,0.0,sell,325000.00000000,303000.00000000,338.96164691,320413.50923000,320320.00000000,320413.50923000,315000.00000000,1615418673,7,21,320413.5091871429,320413.50920142856,320400.1538257141,320400.1538014284,0,0
0,320413.50923,320413.50923,10/03/2021 20:24:34,0.0,sell,325000.00000000,303000.00000000,338.96164691,320413.50923000,320320.00000000,320413.50923000,315000.00000000,1615418674,7,21,320413.50920142856,320413.5092157143,320400.1538014284,320400.1537771427,0,0
0,320413.50923,320413.50923,10/03/2021 20:24:35,0.0,sell,325000.00000000,303000.00000000,338.95529771,320413.50923000,320320.00000000,320413.50923000,314980.00000000,1615418676,7,21,320413.5092157143,320413.50922999997,320400.1537771427,320400.153752857,0,0
0,320413.50923,320413.50923,10/03/2021 20:24:37,0.0,sell,325000.00000000,303000.00000000,338.95558955,320413.50923000,320320.01000000,320413.50923000,314980.00000000,1615418677,7,21,320413.50922999997,320413.50922999997,320400.153752857,320400.15372857125,0,0
